season,team_games,home_runs,hr_per_game,runs,runs_per_game
1998,4864,5059,1.04,23299,4.79
1999,4856,5536,1.14,24668,5.08
2000,4858,5684,1.17,24970,5.14
2001,4858,5441,1.12,23221,4.78
2002,4852,5046,1.04,22416,4.62
2003,4860,5200,1.07,22988,4.73
2004,4856,5439,1.12,23357,4.81
2005,4862,5008,1.03,22317,4.59
2006,4858,5392,1.11,23610,4.86
2007,4862,4959,1.02,23338,4.80
2008,4856,4856,1.00,22580,4.65
2009,4860,5054,1.04,22405,4.61
2010,4860,4617,0.95,21287,4.38
2011,4858,4567,0.94,20792,4.28
2012,4860,4957,1.02,20995,4.32
2013,4862,4668,0.96,20275,4.17
2014,4860,4186,0.86,19780,4.07
2015,4858,4909,1.01,20647,4.25
2016,4856,5610,1.16,21755,4.48
2017,4860,6105,1.26,22599,4.65
2018,4862,5585,1.15,21636,4.45
2019,4858,6776,1.39,23464,4.83
2020,1796,2304,1.28,8351,4.65
2021,4858,5944,1.22,22007,4.53
2022,4860,5215,1.07,20801,4.28
2023,4860,5868,1.21,22453,4.62
2024,4858,5453,1.12,21327,4.39
2025,4860,5650,1.16,21627,4.45
